name,t,dt,sensor_type,lidar_x,lidar_y,nis_lidar,radar_r,radar_phi,radar_dr,nis_radar,x_px,x_py,x_v,x_yaw_angle,x_yaw_rate
car1,0.233333,0.033333,lidar,-8.72373,3.95781,1.46313,,,,,-8.67304,3.80502,4.85991,-0.169381,0.153648
car1,0.233333,0,radar,,,,8.88132,2.72007,-4.7206,3.84525,-8.6555,3.80114,4.89034,-0.169677,0.130674
car2,0.233333,0.033333,lidar,23.3429,-4.04219,0.497423,,,,,23.4388,-4.02632,-6.13932,-0.0858496,-0.233933
car2,0.233333,0,radar,,,,23.0755,-0.158423,-6.09502,5.54601,23.4185,-4.01946,-6.16454,-0.0906417,-0.252674
car3,0.233333,0.033333,lidar,-11.7904,-0.0421931,0.577497,,,,,-11.6921,-0.0808749,1.25669,0.145443,0.0252765
car3,0.233333,0,radar,,,,11.0694,3.15247,-1.1808,5.20873,-11.6725,-0.0815726,1.29478,0.135266,0.0206078
car1,0.266666,0.033333,lidar,-8.67841,4.0443,3.97552,,,,,-8.50395,3.83026,4.90707,-0.100069,0.272557
car1,0.266666,0,radar,,,,9.26876,2.69785,-4.26191,1.15291,-8.49568,3.85904,4.87168,-0.0336991,0.552649
car2,0.266666,0.033333,lidar,23.0216,-3.9557,1.5855,,,,,23.1958,-3.99358,-6.18397,-0.103924,-0.26933
car2,0.266666,0,radar,,,,23.4169,-0.174636,-5.65057,1.72799,23.2012,-3.99289,-6.05894,-0.0977038,-0.180019
car3,0.266666,0.033333,lidar,-11.8784,0.0443023,2.81965,,,,,-11.6617,-0.0444931,1.27993,0.273356,0.0700737
car3,0.266666,0,radar,,,,11.5746,3.13769,-0.737812,2.01543,-11.6663,-0.0293016,1.19963,0.399087,0.165603
car1,0.3,0.033334,lidar,-8.0675,3.85276,2.80018,,,,,-8.30293,3.8702,4.92719,0.0128653,0.603116
car1,0.3,0,radar,,,,9.73266,2.72726,-4.73411,4.73589,-8.32307,3.84264,4.92492,-0.0619142,0.273753
car2,0.3,0.033334,lidar,23.2658,-4.14724,3.79066,,,,,23.023,-4.02415,-6.05158,-0.0432697,0.0253649
car2,0.3,0,radar,,,,23.8343,-0.139004,-6.13776,3.9286,23.0336,-4.00547,-6.08551,-0.0790368,-0.140001
car3,0.3,0.033334,lidar,-11.4008,-0.147237,2.73779,,,,,-11.6093,-0.0486795,1.1997,0.257356,0.0985172
car3,0.3,0,radar,,,,12.1557,3.17478,-1.22649,4.43487,-11.6189,-0.0518694,1.2307,0.229952,0.0642833
car1,0.333333,0.033333,lidar,-7.95401,3.91857,1.84459,,,,,-8.13233,3.86311,4.99614,-0.0120967,0.357574
car1,0.333333,0,radar,,,,9.30684,2.66714,-4.62444,2.17173,-8.13046,3.87601,5.03527,-0.0116887,0.294033
car2,0.333333,0.033333,lidar,23.0127,-4.08143,1.58604,,,,,22.8475,-4.01414,-6.07632,-0.0556261,-0.0438454
car2,0.333333,0,radar,,,,23.3614,-0.192675,-6.04387,0.733478,22.8486,-4.0197,-6.09786,-0.0522392,-0.0451239
car3,0.333333,0.033333,lidar,-11.4207,-0.0814259,1.10449,,,,,-11.5673,-0.052765,1.24003,0.187022,0.0379238
car3,0.333333,0,radar,,,,11.8465,3.12259,-1.13412,1.89128,-11.5733,-0.052155,1.23738,0.190445,0.0390955
car1,0.366666,0.033333,lidar,-8.02984,3.90665,0.2169,,,,,-7.9693,3.87838,5.02874,-1.9538e-05,0.301712
car1,0.366666,0,radar,,,,8.97925,2.64891,-4.59767,1.93626,-7.96111,3.89492,5.08178,0.00768872,0.2694
car2,0.366666,0.033333,lidar,22.5702,-4.09335,0.41392,,,,,22.6365,-4.044,-6.12476,-0.0101229,0.0988594
car2,0.366666,0,radar,,,,22.9862,-0.204217,-6.03371,0.856261,22.6337,-4.05157,-6.1462,-0.00385887,0.10908
car3,0.366666,0.033333,lidar,-11.6298,-0.0933533,0.439598,,,,,-11.544,-0.0562031,1.21597,0.148712,0.0121889
car3,0.366666,0,radar,,,,11.635,3.11255,-1.12554,1.15447,-11.5458,-0.0556241,1.21588,0.151231,0.0136199
car1,0.4,0.033334,lidar,-7.84013,4.06325,1.0959,,,,,-7.7887,3.92912,5.12506,0.0521486,0.363392
car1,0.4,0,radar,,,,8.8691,2.63285,-4.22684,2.13287,-7.78024,3.96088,5.15991,0.100393,0.528178
car2,0.4,0.033334,lidar,22.3932,-3.93675,0.451374,,,,,22.433,-4.01214,-6.12755,-0.0465748,-0.0405329
car2,0.4,0,radar,,,,22.8279,-0.213333,-5.68038,2.30189,22.4367,-4.03444,-6.05332,-0.0115205,0.100411
car3,0.4,0.033334,lidar,-11.5735,0.0632456,0.588559,,,,,-11.5143,-0.0204383,1.23048,0.255209,0.0965301
car3,0.4,0,radar,,,,11.6402,3.10497,-0.773813,2.12099,-11.5238,-0.0136585,1.14432,0.30532,0.19897
car1,0.433333,0.033333,lidar,-7.64858,4.03385,0.171269,,,,,-7.61131,3.98874,5.16901,0.126944,0.552462
car1,0.433333,0,radar,,,,9.07581,2.64513,-3.85875,3.31961,-7.6146,4.01852,5.1717,0.182855,0.776645
car2,0.433333,0.033333,lidar,22.2181,-3.96615,0.146621,,,,,22.2383,-4.00989,-6.04231,-0.034624,0.0173533
car2,0.433333,0,radar,,,,22.9859,-0.193846,-5.33074,4.51229,22.2541,-4.03429,-5.89362,0.00834103,0.195456
car3,0.433333,0.033333,lidar,-11.5153,0.0338535,0.069146,,,,,-11.492,0.00690763,1.14898,0.343091,0.227523
car3,0.433333,0,radar,,,,11.9617,3.12601,-0.425823,5.93922,-11.513,0.0214571,1.00375,0.450676,0.460169
car1,0.466666,0.033333,lidar,-7.49387,3.93136,0.595751,,,,,-7.45685,4.02757,5.1152,0.183646,0.719051
car1,0.466666,0,radar,,,,8.26297,2.7202,-3.87741,6.28044,-7.4716,3.9952,5.0263,0.16215,0.703571
car2,0.466666,0.033333,lidar,22.0061,-4.06864,0.139159,,,,,22.0538,-4.05013,-5.90806,0.0299744,0.240118
car2,0.466666,0,radar,,,,22.1236,-0.111288,-5.36886,7.50145,22.0578,-4.04087,-5.81542,0.0341582,0.284581
car3,0.466666,0.033333,lidar,-11.4939,-0.0686399,0.378894,,,,,-11.4853,0.0119277,0.978404,0.385817,0.381893
car3,0.466666,0,radar,,,,11.263,3.21016,-0.465643,2.90828,-11.4893,0.0173455,0.890254,0.436215,0.510345
car1,0.5,0.033334,lidar,-7.26656,3.64612,5.39383,,,,,-7.32132,3.96095,4.8992,0.127594,0.57324
car1,0.5,0,radar,,,,8.51295,2.66923,-5.0859,10.3855,-7.32024,3.91251,4.97618,0.0205284,0.157165
car2,0.5,0.033334,lidar,21.8668,-4.35388,2.76615,,,,,21.8539,-4.14998,-5.88643,0.153046,0.597927
car2,0.5,0,radar,,,,22.3236,-0.154483,-6.58327,8.74687,21.8494,-4.05826,-6.02772,0.000998037,0.0575597
