name,x,y,v,angle,acc
car2,14.4,-4,-6,0,0
car3,-8.69369,0.925526,3.91667,0.366667,2.5
car1,-0.588327,4,5.65001,0,0.5
car2,14.2,-4,-6,0,0
car3,-8.57181,0.972331,4,0.366667,2.5
car1,-0.399994,4,5.66668,0,0.5
car2,14,-4,-6,0,0
car3,-8.44734,1.02013,4.08333,0.366667,2.5
car1,-0.211105,4,5.68334,0,0.5
car2,13.8,-4,-6,0,0
car3,-8.32028,1.06893,4.16667,0.366667,2.5
car1,-0.0216598,4,5.70001,0,0.5
car2,13.6,-4,-6,0,0
car3,-8.19062,1.11872,4.25,0.366667,2.5
car1,0.168341,4,5.71668,0,0.5
car2,13.4,-4,-6,0,0
car3,-8.05837,1.16951,4.33333,0.366667,2.5
car1,0.358896,4,5.73334,0,0.5
car2,13.2,-4,-6,0,0
car3,-7.92353,1.22129,4.41667,0.366667,2.5
car1,0.550008,4,5.75001,0,0.5
car2,13,-4,-6,0,0
car3,-7.7861,1.27407,4.5,0.366667,2.5
car1,0.741675,4,5.76668,0,0.5
car2,12.8,-4,-6,0,0
car3,-7.64607,1.32785,4.58333,0.366667,2.5
car1,0.933897,4,5.78334,0,0.5
car2,12.6,-4,-6,0,0
car3,-7.50344,1.38262,4.66667,0.366667,2.5
car1,1.12668,4,5.80001,0,0.5
car2,12.4,-4,-6,0,0
car3,-7.35823,1.43839,4.75,0.366667,2.5
car1,1.32001,4,5.81668,0,0.5
car2,12.2,-4,-6,0,0
car3,-7.21042,1.49515,4.83333,0.366667,2.5
car1,1.5139,4,5.83334,0,0.5
car2,12,-4,-6,0,0
car3,-7.06002,1.55291,4.91667,0.366667,2.5
car1,1.70834,4,5.85001,0,0.5
car2,11.8,-4,-6,0,0
car3,-6.90702,1.61167,5,0.366667,2.5
car1,1.90334,4,5.85001,-0.0195,0
car2,11.6,-4,-6,0,0
car3,-6.75144,1.67142,5.08333,0.366667,2.5
car1,2.09831,3.9962,5.85001,-0.0390001,0
car2,11.4,-4,-6,0,0
car3,-6.59325,1.73216,5.16667,0.366667,2.5
car1,2.29316,3.98859,5.85001,-0.0585001,0
car2,11.2,-4,-6,0,0
car3,-6.43248,1.79391,5.25,0.366667,2.5
car1,2.48783,3.97719,5.85001,-0.0780002,0
