name,t,dt,sensor_type,lidar_x,lidar_y,nis_lidar,radar_r,radar_phi,radar_dr,nis_radar,x_px,x_py,x_v,x_yaw_angle,x_yaw_rate
car3,0.433333,0.033333,lidar,-11.5153,0.0338535,0.192942,,,,,-11.5067,-0.0218604,1.04018,0.264587,0.225671
car1,0.466666,0.033333,lidar,-7.49387,3.93136,0.31663,,,,,-7.48182,3.99717,5.0179,0.0691636,-0.00604576
car2,0.466666,0.033333,lidar,22.0061,-4.06864,0.290535,,,,,22.024,-4.00795,-6.26375,-0.0289269,0.147623
car3,0.466666,0.033333,lidar,-11.4939,-0.0686399,0.110778,,,,,-11.4807,-0.02771,1.02603,0.211031,0.178796
car1,0.5,0.033334,lidar,-7.26656,3.64612,3.74535,,,,,-7.30307,3.87338,5.02415,-0.116506,-0.566206
car2,0.5,0.033334,lidar,21.8668,-4.35388,3.40888,,,,,21.8287,-4.14092,-6.19193,0.14303,0.711242
car3,0.5,0.033334,lidar,-11.3999,-0.353877,3.76684,,,,,-11.4374,-0.104974,1.06533,-0.124634,-0.126171
car1,0.533333,0.033333,lidar,-7.33188,4.133,3.47157,,,,,-7.18479,3.95526,4.88473,0.00198802,-0.159813
car2,0.533333,0.033333,lidar,21.4342,-3.867,3.75022,,,,,21.5794,-4.05156,-6.3597,0.0208497,0.226106
car3,0.533333,0.033333,lidar,-11.5969,0.133596,3.22373,,,,,-11.4497,-0.0488064,0.911262,0.102983,0.106376
car1,0.566666,0.033333,lidar,-6.84173,3.94509,1.13922,,,,,-6.98175,3.95254,5.02642,-0.00574798,-0.163207
car2,0.566666,0.033333,lidar,21.5566,-4.05491,1.19282,,,,,21.4129,-4.05718,-6.21787,0.029994,0.235487
car3,0.566666,0.033333,lidar,-11.2368,-0.0530126,1.1766,,,,,-11.3798,-0.047428,1.04963,0.100236,0.096451
car1,0.6,0.033334,lidar,-6.66134,4.13847,1.80841,,,,,-6.78039,4.01971,5.15103,0.0792824,0.0958419
car2,0.6,0.033334,lidar,21.3687,-3.86153,2.03043,,,,,21.2424,-3.98682,-6.10306,-0.0485095,-0.0232319
car3,0.6,0.033334,lidar,-11.1848,0.142497,2.10023,,,,,-11.3116,-0.00037712,1.17078,0.264738,0.283493
car1,0.633333,0.033333,lidar,-6.74741,4.14583,1.00596,,,,,-6.64076,4.07354,5.06262,0.132959,0.232873
car2,0.633333,0.033333,lidar,20.9137,-3.85417,0.979594,,,,,21.0133,-3.93033,-6.19135,-0.100188,-0.170871
car3,0.633333,0.033333,lidar,-11.3976,0.152948,1.21167,,,,,-11.3024,0.0433537,1.09714,0.402809,0.451092
car1,0.666666,0.033333,lidar,-6.51462,3.85614,1.71799,,,,,-6.48307,4.01188,5.02034,0.0377644,-0.0377765
car2,0.666666,0.033333,lidar,20.777,-4.14386,1.57848,,,,,20.8021,-3.99595,-6.20971,-0.0150137,0.0787555
car3,0.666666,0.033333,lidar,-11.29,-0.132551,1.24569,,,,,-11.2742,0.0135718,1.06562,0.262864,0.242487
car1,0.7,0.033334,lidar,-6.19468,4.05223,0.565781,,,,,-6.29206,4.02957,5.10204,0.0492279,-0.00548989
car2,0.7,0.033334,lidar,20.727,-3.94777,0.656004,,,,,20.6237,-3.97641,-6.12612,-0.0297988,0.0330895
car3,0.7,0.033334,lidar,-11.0937,0.0689691,0.854286,,,,,-11.212,0.0325307,1.16447,0.29186,0.266258
car1,0.733333,0.033333,lidar,-5.99443,4.12674,0.826228,,,,,-6.09759,4.06757,5.18878,0.0817574,0.0738416
car2,0.733333,0.033333,lidar,20.5567,-3.87326,0.922522,,,,,20.4487,-3.93603,-6.04142,-0.0625011,-0.0514547
car3,0.733333,0.033333,lidar,-11.0156,0.150306,1.32462,,,,,-11.1451,0.0669177,1.27777,0.364587,0.355035
car1,0.766666,0.033333,lidar,-6.27938,4.09451,4.42609,,,,,-5.99736,4.08743,4.97016,0.0932843,0.0946981
car2,0.766666,0.033333,lidar,19.9006,-3.90549,4.32681,,,,,20.1794,-3.91899,-6.25804,-0.0660068,-0.0549604
car3,0.766666,0.033333,lidar,-11.4213,0.126443,3.56305,,,,,-11.1703,0.0944121,1.09575,0.462228,0.497687
car1,0.8,0.033334,lidar,-5.74719,3.96719,0.818738,,,,,-5.81579,4.05916,5.01557,0.0496453,-0.00952013
car2,0.8,0.033334,lidar,20.0611,-4.03281,0.772882,,,,,19.9891,-3.9467,-6.20109,-0.0317702,0.0270351
car3,0.8,0.033334,lidar,-11.0084,0.00919354,0.954622,,,,,-11.1128,0.0862568,1.15487,0.377366,0.335424
car1,0.833333,0.033333,lidar,-5.3772,4.07794,2.66071,,,,,-5.59646,4.06947,5.18174,0.0488238,-0.0104679
car2,0.833333,0.033333,lidar,20.0589,-3.92206,2.71996,,,,,19.8374,-3.93298,-6.03384,-0.038909,0.00893425
