name,t,dt,sensor_type,lidar_x,lidar_y,nis_lidar,radar_r,radar_phi,radar_dr,nis_radar,x_px,x_py,x_v,x_yaw_angle,x_yaw_rate
car1,0.433333,0.033333,radar,,,,9.07581,2.64513,-3.85875,2.62107,-7.7118,3.97814,-4.96258,3.31752,1.35367
car2,0.433333,0.033333,radar,,,,22.9859,-0.193846,-5.33074,2.37756,22.1798,-4.25187,-6.02121,0.202088,0.909128
car3,0.433333,0.033333,radar,,,,11.9617,3.12601,-0.425823,5.07858,-11.5484,0.240391,-0.917717,3.08085,-0.0699078
car1,0.466666,0.033333,radar,,,,8.26297,2.7202,-3.87741,5.02732,-7.56909,3.92143,-4.86522,3.29965,1.22161
car2,0.466666,0.033333,radar,,,,22.1236,-0.111288,-5.36886,7.6382,21.9927,-4.14759,-5.9748,0.18889,0.820448
car3,0.466666,0.033333,radar,,,,11.263,3.21016,-0.465643,2.81975,-11.5101,0.226908,-0.830898,3.06116,-0.10695
car1,0.5,0.033334,radar,,,,8.51295,2.66923,-5.0859,12.9885,-7.43596,3.83859,-4.87908,3.19025,0.909261
car2,0.5,0.033334,radar,,,,22.3236,-0.154483,-6.58327,9.10118,21.8187,-3.95514,-6.04197,0.0315708,0.446723
car3,0.5,0.033334,radar,,,,11.6263,3.16858,-1.74831,8.8239,-11.4714,0.231227,-1.09841,3.11142,0.000457861
car1,0.533333,0.033333,radar,,,,8.00629,2.6189,-4.37021,2.41636,-7.23992,3.86788,-4.99559,3.22644,0.916325
car2,0.533333,0.033333,radar,,,,21.7666,-0.196697,-5.87489,0.719548,21.5996,-3.98776,-6.06903,0.0546625,0.461445
car3,0.533333,0.033333,radar,,,,11.2305,3.12795,-1.10785,1.65719,-11.422,0.220141,-1.14362,3.10159,-0.0179114
car1,0.566666,0.033333,radar,,,,7.91342,2.60029,-3.69174,2.54599,-7.04415,3.93942,-5.04263,3.30538,1.00454
car2,0.566666,0.033333,radar,,,,21.6232,-0.206839,-5.20523,3.74173,21.3925,-4.06999,-5.95348,0.111695,0.537374
car3,0.566666,0.033333,radar,,,,11.246,3.11937,-0.505653,2.55895,-11.3913,0.20902,-1.03883,3.09105,-0.0354016
car1,0.6,0.033334,radar,,,,8.17154,2.64165,-4.13851,2.01926,-6.9085,3.92599,-4.99636,3.29404,0.925186
car2,0.6,0.033334,radar,,,,21.8305,-0.156632,-5.66242,1.80438,21.2226,-4.02398,-5.91605,0.0990155,0.486629
car3,0.6,0.033334,radar,,,,11.6099,3.17109,-1.02968,1.91649,-11.3723,0.197014,-1.07743,3.08489,-0.0436323
car1,0.633333,0.033333,radar,,,,7.44803,2.56628,-4.25199,5.53261,-6.70012,3.9615,-5.14798,3.31753,0.905588
car2,0.633333,0.033333,radar,,,,21.0558,-0.222744,-5.78806,2.73589,20.9933,-4.09502,-6.00799,0.130108,0.508242
car3,0.633333,0.033333,radar,,,,10.9895,3.10644,-1.22134,3.05902,-11.3141,0.192741,-1.17203,3.09309,-0.0283632
car1,0.666666,0.033333,radar,,,,7.48951,2.61558,-4.2197,2.45415,-6.54247,3.93484,-5.11252,3.29951,0.826391
car2,0.666666,0.033333,radar,,,,21.0456,-0.163776,-5.76981,1.41422,20.8005,-4.03499,-5.98363,0.1049,0.443845
car3,0.666666,0.033333,radar,,,,11.1315,3.1668,-1.26809,2.05135,-11.2657,0.183735,-1.25757,3.09125,-0.0296503
car1,0.7,0.033334,radar,,,,7.32158,2.59145,-4.22646,2.17187,-6.37108,3.9281,-5.14133,3.2965,0.775812
car2,0.7,0.033334,radar,,,,20.8255,-0.17778,-5.79264,0.759336,20.6002,-4.00822,-5.98899,0.0957855,0.408568
car3,0.7,0.033334,radar,,,,11.0614,3.15411,-1.35466,2.24679,-11.2137,0.177097,-1.35073,3.09506,-0.0227547
car1,0.733333,0.033333,radar,,,,7.04402,2.56144,-4.35159,4.16487,-6.1799,3.9322,-5.24108,3.29795,0.733143
car2,0.733333,0.033333,radar,,,,20.4952,-0.197197,-5.93603,1.54547,20.3829,-4.01702,-6.05955,0.10001,0.393767
car3,0.733333,0.033333,radar,,,,10.879,3.13591,-1.56027,3.57493,-11.1497,0.173316,-1.47701,3.10269,-0.011262
car1,0.766666,0.033333,radar,,,,7.18988,2.54995,-4.25133,2.06378,-6.00179,3.94636,-5.31274,3.3038,0.700852
car2,0.766666,0.033333,radar,,,,20.5876,-0.197592,-5.8564,0.162632,20.1819,-4.03027,-6.08883,0.10678,0.384325
car3,0.766666,0.033333,radar,,,,11.1173,3.13662,-1.54102,2.13031,-11.1009,0.161279,-1.5731,3.0934,-0.0228302
car1,0.8,0.033334,radar,,,,6.88856,2.50107,-4.57478,7.97319,-5.7913,3.97388,-5.5122,3.30955,0.66421
car2,0.8,0.033334,radar,,,,20.2322,-0.234841,-6.20303,3.33266,19.9511,-4.1067,-6.25791,0.133152,0.397697
car3,0.8,0.033334,radar,,,,10.9057,3.10035,-1.94587,4.17604,-11.0333,0.171678,-1.72868,3.13177,0.02613
car1,0.833333,0.033333,radar,,,,6.59219,2.46694,-4.22343,5.53823,-5.55951,4.03029,-5.70894,3.33616,0.661051
car2,0.833333,0.033333,radar,,,,19.8809,-0.256773,-5.87763,3.42125,19.7055,-4.25685,-6.38311,0.194744,0.455931
car3,0.833333,0.033333,radar,,,,10.6963,3.07926,-1.67618,2.71662,-10.966,0.140706,-1.81671,3.07476,-0.0432763
car1,0.866666,0.033333,radar,,,,7.21019,2.46927,-4.00657,3.93263,-5.37582,4.08519,-5.78733,3.35551,0.65083
car2,0.866666,0.033333,radar,,,,20.4431,-0.241654,-5.68973,2.95291,19.5055,-4.37886,-6.42653,0.242252,0.494353
car3,0.866666,0.033333,radar,,,,11.3985,3.09506,-1.54103,3.74974,-10.9362,0.136651,-1.8599,3.09486,-0.0183317
car1,0.9,0.033334,radar,,,,6.51124,2.46471,-4.43572,6.5905,-5.18987,4.07528,-5.82243,3.33547,0.585095
car2,0.9,0.033334,radar,,,,19.6873,-0.232801,-6.15107,2.11284,19.2973,-4.3549,-6.45677,0.211372,0.433966
car3,0.9,0.033334,radar,,,,10.7809,3.10441,-2.05177,2.8918,-10.8662,0.158736,-1.96575,3.14269,0.0355212
car1,0.933333,0.033333,radar,,,,6.41962,2.48982,-4.26348,4.57978,-5.0303,4.04584,-5.75296,3.314,0.527508
car2,0.933333,0.033333,radar,,,,19.5377,-0.193598,-6.01455,1.47107,19.103,-4.29592,-6.40847,0.182166,0.384158
car3,0.933333,0.033333,radar,,,,10.7679,3.14392,-1.96079,2.13427,-10.8019,0.111039,-2.04707,3.06194,-0.0522439
car1,0.966666,0.033333,radar,,,,5.83953,2.45756,-4.08147,4.52081,-4.83751,4.03343,-5.75456,3.30709,0.492611
car2,0.966666,0.033333,radar,,,,18.8983,-0.211059,-5.87207,2.74891,18.8811,-4.29266,-6.3945,0.179129,0.367085
car3,0.966666,0.033333,radar,,,,10.2637,3.12654,-1.85946,4.07484,-10.7189,0.149723,-2.10661,3.1325,0.0225996
car1,1,0.033334,radar,,,,6.14523,2.45619,-3.72607,1.18169,-4.67442,4.03076,-5.67137,3.30702,0.472592
car2,1,0.033334,radar,,,,19.1434,-0.196875,-5.56032,1.46153,18.6922,-4.27024,-6.27067,0.173232,0.351102
car3,1,0.033334,radar,,,,10.6425,3.14057,-1.62606,1.25885,-10.6627,0.129323,-2.14193,3.10357,-0.00708672
car1,1.03333,0.033333,radar,,,,6.38184,2.41801,-3.78367,2.33146,-4.50832,4.04833,-5.66897,3.31034,0.452543
car2,1.03333,0.033333,radar,,,,19.3179,-0.218704,-5.66605,1.29405,18.5075,-4.28691,-6.22953,0.177923,0.344482
car3,1.03333,0.033333,radar,,,,10.9481,3.11851,-1.80995,2.63235,-10.6161,0.118292,-2.18256,3.10033,-0.00993741
car1,1.06667,0.033333,radar,,,,6.30982,2.39276,-4.39889,11.5761,-4.33975,4.04253,-5.74725,3.29299,0.396258
car2,1.06667,0.033333,radar,,,,19.1821,-0.226771,-6.33423,5.4509,18.3122,-4.28242,-6.35378,0.166955,0.315912
car3,1.06667,0.033333,radar,,,,10.9408,3.11013,-2.55611,4.4398,-10.5503,0.127387,-2.26141,3.12957,0.0178606
car1,1.1,0.033334,radar,,,,6.3217,2.37678,-3.75838,4.18477,-4.17486,4.06293,-5.75076,3.29493,0.376111
car2,1.1,0.033334,radar,,,,19.1283,-0.224677,-5.75192,2.90916,18.1312,-4.30019,-6.31025,0.171257,0.310311
car3,1.1,0.033334,radar,,,,11.013,3.11182,-2.05158,4.49941,-10.5037,0.0947048,-2.30696,3.09789,-0.0114667
car1,1.13333,0.033333,radar,,,,5.27615,2.4034,-3.34805,5.3479,-4.02311,4.03442,-5.58262,3.28687,0.354609
car2,1.13333,0.033333,radar,,,,18.015,-0.179039,-5.40546,6.26199,17.9493,-4.20435,-6.1089,0.142132,0.277048
car3,1.13333,0.033333,radar,,,,10.023,3.15697,-1.78269,3.27082,-10.4254,0.0990259,-2.34204,3.09753,-0.0114363
car1,1.16667,0.033333,radar,,,,5.93044,2.42214,-3.52877,10.2134,-3.92688,3.9913,-5.34616,3.26704,0.31457
car2,1.16667,0.033333,radar,,,,18.5994,-0.140308,-5.65615,9.71815,17.821,-4.00097,-5.88767,0.0760215,0.207837
car3,1.16667,0.033333,radar,,,,10.7282,3.19512,-2.11071,3.0216,-10.3692,0.0819044,-2.38604,3.09344,-0.0145459
car1,1.2,0.033334,radar,,,,5.44624,2.30274,-3.30086,0.827165,-3.73086,4.02054,-5.43518,3.27685,0.309312
car2,1.2,0.033334,radar,,,,18.0428,-0.23866,-5.50482,0.276481,17.6186,-4.0487,-5.89237,0.092905,0.217144
car3,1.2,0.033334,radar,,,,10.2898,3.09609,-2.03645,1.37445,-10.2995,0.0770572,-2.42658,3.09272,-0.0146932
car1,1.23333,0.033333,radar,,,,5.27175,2.30256,-3.80518,6.72899,-3.55588,4.00692,-5.49596,3.26158,0.264051
car2,1.23333,0.033333,radar,,,,17.7933,-0.216714,-6.0928,2.65177,17.4119,-4.04344,-6.02821,0.0908198,0.205355
car3,1.23333,0.033333,radar,,,,10.1559,3.11726,-2.70124,2.03393,-10.2085,0.0940029,-2.48961,3.11815,0.00640172
car1,1.26667,0.033333,radar,,,,5.24793,2.26451,-3.93151,8.66793,-3.36915,3.99873,-5.60998,3.24536,0.21586
car2,1.26667,0.033333,radar,,,,17.6915,-0.231487,-6.31042,3.25393,17.1973,-4.0582,-6.19949,0.0932304,0.19676
car3,1.26667,0.033333,radar,,,,10.1672,3.10161,-2.99535,2.30537,-10.1135,0.0899139,-2.55996,3.11836,0.00643358
car1,1.3,0.033334,radar,,,,5.64828,2.28492,-3.12903,4.82868,-3.23421,4.00128,-5.49587,3.24216,0.200431
car2,1.3,0.033334,radar,,,,18.0108,-0.186601,-5.60739,5.66944,17.0477,-3.96713,-6.04013,0.0665435,0.169509
car3,1.3,0.033334,radar,,,,10.5969,3.14551,-2.3685,4.85776,-10.0555,0.0393951,-2.60687,3.08913,-0.0161858
car1,1.33333,0.033333,radar,,,,5.11574,2.19368,-3.30012,2.81177,-3.03093,4.02136,-5.61814,3.24207,0.182278
car2,1.33333,0.033333,radar,,,,17.3937,-0.252132,-5.88664,0.639144,16.8342,-4.02877,-6.11346,0.0862406,0.180775
car3,1.33333,0.033333,radar,,,,10.0878,3.07887,-2.72358,1.95435,-9.93401,0.8647,-2.64006,4.13441,0.771572
car1,1.36667,0.033333,radar,,,,4.78184,2.14694,-3.05762,2.62722,-2.81041,4.04341,-5.74946,3.24437,0.170231
car2,1.36667,0.033333,radar,,,,16.9715,-0.271876,-5.76156,1.27714,16.6058,-4.12396,-6.17354,0.115677,0.200916
car3,1.36667,0.033333,radar,,,,9.77104,3.05791,-2.67394,2.10245,-9.81584,0.114437,-2.77091,3.2819,0.130251
car1,1.4,0.033334,radar,,,,4.80974,2.19973,-2.58801,2.80999,-2.6675,4.03543,-5.58851,3.2402,0.159716
car2,1.4,0.033334,radar,,,,16.907,-0.190764,-5.41914,4.00831,16.4402,-4.03523,-6.00763,0.0913594,0.177977
car3,1.4,0.033334,radar,,,,9.8095,3.13768,-2.40657,1.21615,-9.73409,0.132892,-2.6731,3.29471,0.136333
car1,1.43333,0.033333,radar,,,,4.9387,2.05113,-2.34016,4.59238,-2.42732,4.09236,-5.78444,3.25846,0.173858
car2,1.43333,0.033333,radar,,,,16.9392,-0.309677,-5.30878,5.27747,16.2162,-4.20756,-6.02366,0.145073,0.221187
car3,1.43333,0.033333,radar,,,,9.94212,3.01729,-2.3708,1.82442,-9.65898,0.130957,-2.62105,3.30311,0.13938
car1,1.46667,0.033333,radar,,,,4.70561,2.10304,-2.36627,1.51957,-2.26916,4.09241,-5.68367,3.25235,0.154937
car2,1.46667,0.033333,radar,,,,16.6046,-0.226704,-5.48311,0.995665,16.0386,-4.16918,-5.96598,0.132493,0.204716
car3,1.46667,0.033333,radar,,,,9.70546,3.09865,-2.61925,1.32595,-9.57479,0.112542,-2.66638,3.29134,0.128344
car1,1.5,0.033334,radar,,,,4.6311,2.06699,-2.8478,7.57412,-2.11602,4.07038,-5.59946,3.22862,0.101542
car2,1.5,0.033334,radar,,,,16.4234,-0.230292,-6.12398,4.10618,15.8503,-4.10845,-6.06832,0.107706,0.171396
car3,1.5,0.033334,radar,,,,9.61979,3.0933,-3.33372,5.39578,-9.47161,0.0583544,-2.87939,3.25632,0.101912
car1,1.53333,0.033333,radar,,,,4.56872,1.99348,-2.22275,1.26135,-1.91842,4.08347,-5.65627,3.22557,0.0863872
car2,1.53333,0.033333,radar,,,,16.2489,-0.269953,-5.66969,0.189681,15.6442,-4.15552,-6.09541,0.120277,0.176763
car3,1.53333,0.033333,radar,,,,9.53832,3.05173,-2.95246,1.57652,-9.37719,0.0492159,-2.9387,3.25371,0.098054
car1,1.56667,0.033333,radar,,,,4.31771,2.00468,-2.39503,4.89963,-1.76626,4.06173,-5.54642,3.20642,0.0469946
car2,1.56667,0.033333,radar,,,,15.8798,-0.223525,-6.0243,3.01678,15.4561,-4.08054,-6.12872,0.0937296,0.14546
car3,1.56667,0.033333,radar,,,,9.25992,3.09609,-3.37948,3.198,-9.26638,0.0525722,-3.08815,3.25126,0.0939546
car1,1.6,0.033334,radar,,,,4.12712,1.99844,-2.32047,7.12353,-1.63442,4.02902,-5.37352,3.18484,0.00762932
car2,1.6,0.033334,radar,,,,15.565,-0.193189,-6.14365,6.61073,15.2766,-3.94886,-6.13443,0.0522637,0.103102
car3,1.6,0.033334,radar,,,,9.03326,3.12418,-3.57058,3.6727,-9.14695,0.0500249,-3.24051,3.24061,0.0846531
car1,1.63333,0.033333,radar,,,,4.18669,1.88287,-1.40335,1.42009,-1.42322,4.04741,-5.47158,3.19125,0.0183054
car2,1.63333,0.033333,radar,,,,15.4936,-0.270901,-5.43185,1.5117,15.0722,-3.98637,-6.04776,0.0643692,0.112671
car3,1.63333,0.033333,radar,,,,9.04774,3.04404,-2.9298,0.940507,-9.0467,0.048651,-3.22307,3.23583,0.0800937
car1,1.66667,0.033333,radar,,,,4.05799,1.78754,-1.35615,6.05108,-1.17091,4.06431,-5.7036,3.19325,0.0172207
car2,1.66667,0.033333,radar,,,,15.227,-0.327166,-5.60101,4.3872,14.8302,-4.12991,-6.12005,0.106104,0.145558
car3,1.66667,0.033333,radar,,,,8.86457,2.98516,-3.1692,1.12653,-8.93784,0.0524091,-3.26218,3.23145,0.075644
car1,1.7,0.033334,radar,,,,3.99163,1.77567,-1.62461,4.63225,-0.965385,4.05067,-5.7413,3.17667,-0.0175156
car2,1.7,0.033334,radar,,,,15.0153,-0.298866,-6.09629,2.50215,14.6016,-4.17627,-6.26254,0.113559,0.142434
car3,1.7,0.033334,radar,,,,8.73404,3.01065,-3.73386,3.33272,-8.81329,0.0508868,-3.4064,3.22445,0.0693319
car1,1.73333,0.033333,radar,,,,3.62723,1.70239,-1.11499,6.20457,-0.727399,4.03713,-5.87216,3.16627,-0.0354888
car2,1.73333,0.033333,radar,,,,14.4979,-0.330997,-5.82309,4.83471,14.3495,-4.28462,-6.3643,0.141442,0.161005
car3,1.73333,0.033333,radar,,,,8.29545,2.97548,-3.52911,3.34828,-8.68396,0.088609,-3.49065,3.22739,0.0690163
car1,1.76667,0.033333,radar,,,,3.87813,1.6799,-0.977996,2.04491,-0.521635,4.02381,-5.88676,3.15386,-0.0573752
car2,1.76667,0.033333,radar,,,,14.5877,-0.311502,-5.93107,0.964775,14.1228,-4.33027,-6.4338,0.148438,0.159358
car3,1.76667,0.033333,radar,,,,8.46188,2.99172,-3.70451,2.04299,-8.55849,0.0629399,-3.57807,3.20807,0.056146
car1,1.8,0.033334,radar,,,,4.15211,1.64579,-0.606389,0.55064,-0.326897,4.02323,-5.87868,3.14736,-0.0680517
car2,1.8,0.033334,radar,,,,14.6924,-0.302978,-5.81169,0.166425,13.9148,-4.35883,-6.44179,0.151898,0.156897
car3,1.8,0.033334,radar,,,,8.64088,2.99673,-3.65144,1.84437,-8.44171,0.0295734,-3.63986,3.19537,0.047919
car1,1.83333,0.033333,radar,,,,3.82478,1.54771,-0.263345,3.33964,-0.0889751,4.01112,-6.00724,3.1382,-0.0810254
car2,1.83333,0.033333,radar,,,,14.1872,-0.357934,-5.72661,2.63946,13.6686,-4.47774,-6.52688,0.180944,0.176977
car3,1.83333,0.033333,radar,,,,8.20787,2.93801,-3.63146,1.38183,-8.31495,0.0503883,-3.69947,3.19959,0.0491083
car1,1.86667,0.033333,radar,,,,4.51388,1.57367,0.0049329,3.64358,0.0824411,4.02632,-5.91911,3.13787,-0.0810339
car2,1.86667,0.033333,radar,,,,14.6899,-0.28859,-5.7204,3.85972,13.4912,-4.45774,-6.46236,0.169774,0.161869
car3,1.86667,0.033333,radar,,,,8.78049,3.00331,-3.689,4.77669,-8.20818,-0.0543707,-3.74024,3.16589,0.0302895
car1,1.9,0.033334,radar,,,,3.56437,1.51003,-0.191128,5.11119,0.25644,3.99478,-5.78698,3.12075,-0.107295
car2,1.9,0.033334,radar,,,,13.5451,-0.308789,-6.18082,4.81649,13.2683,-4.43337,-6.54835,0.151884,0.134373
car3,1.9,0.033334,radar,,,,7.70363,2.97877,-4.21172,4.59086,-8.05153,0.229364,-3.91609,3.27827,0.0889988
car1,1.93333,0.033333,radar,,,,4.07935,1.43308,0.535478,0.632956,0.468905,3.98879,-5.85574,3.11533,-0.111164
car2,1.93333,0.033333,radar,,,,13.856,-0.34247,-5.71903,0.211466,13.048,-4.49205,-6.55919,0.163719,0.141322
car3,1.93333,0.033333,radar,,,,8.08038,2.94043,-3.81063,1.34753,-7.92967,0.0494604,-3.93616,3.20059,0.046078
car1,1.96667,0.033333,radar,,,,4.14162,1.44854,0.305085,3.64562,0.617725,3.9835,-5.66107,3.10776,-0.122405
car2,1.96667,0.033333,radar,,,,13.7054,-0.284109,-6.21286,4.9146,12.863,-4.41261,-6.55533,0.131019,0.101785
car3,1.96667,0.033333,radar,,,,7.99363,2.99379,-4.3634,3.34714,-7.79193,-0.0192076,-4.05861,3.17517,0.0318542
car1,2,0.033334,radar,,,,4.43591,1.42409,1.11335,4.54885,0.776155,4.00602,-5.58624,3.1164,-0.100841
car2,2,0.033334,radar,,,,13.7782,-0.266257,-5.66486,6.58652,12.7062,-4.32554,-6.37338,0.103998,0.077161
car3,2,0.033334,radar,,,,8.12824,3.00627,-3.8724,3.31558,-7.67079,-0.0228276,-4.09847,3.18174,0.0350102
car1,2.03333,0.033333,radar,,,,4.28008,1.32216,1.4975,1.43386,0.982958,4.01083,-5.69305,3.11814,-0.0903415
car2,2.03333,0.033333,radar,,,,13.3922,-0.326671,-5.53615,0.68417,12.5109,-4.33684,-6.29847,0.104702,0.0774425
car3,2.03333,0.033333,radar,,,,7.80227,2.9401,-3.79856,1.77298,-7.54414,0.00470406,-4.12717,3.19497,0.041113
car1,2.06667,0.033333,radar,,,,3.94484,1.27153,1.92848,2.75071,1.19723,4.00447,-5.8275,3.11965,-0.0769137
car2,2.06667,0.033333,radar,,,,12.8184,-0.336752,-5.35427,1.42207,12.3042,-4.35502,-6.21844,0.108308,0.0817065
car3,2.06667,0.033333,radar,,,,7.2867,2.92384,-3.6692,1.36762,-7.37014,0.898742,-4.36278,3.54849,0.239875
car1,2.1,0.033334,radar,,,,3.69431,1.19496,1.62919,4.90051,1.40859,3.96693,-5.85989,3.10533,-0.0947425
car2,2.1,0.033334,radar,,,,12.3211,-0.373915,-5.89501,4.70345,12.0568,-4.41221,-6.36198,0.118269,0.084915
car3,2.1,0.033334,radar,,,,6.84594,2.88004,-4.25987,15.1019,-7.2035,1.47217,-4.64102,3.57083,0.160334
car1,2.13333,0.033333,radar,,,,4.12224,1.16414,1.95556,0.689352,1.61511,3.9468,-5.8915,3.09719,-0.102491
car2,2.13333,0.033333,radar,,,,12.4944,-0.366592,-5.80138,0.563429,11.8335,-4.44443,-6.41948,0.121309,0.0829203
car3,2.13333,0.033333,radar,,,,7.07412,2.88024,-4.2133,4.24367,-7.03148,1.61204,-4.77817,3.53445,0.110976
car1,2.16667,0.033333,radar,,,,4.30401,1.15657,1.94636,0.802468,1.79159,3.93872,-5.79403,3.09327,-0.105447
car2,2.16667,0.033333,radar,,,,12.414,-0.337413,-6.03371,2.04412,11.6339,-4.40799,-6.45113,0.102024,0.0571997
car3,2.16667,0.033333,radar,,,,7.04704,2.90177,-4.48953,3.25062,-6.8559,1.63939,-4.89376,3.49317,0.0775811
car1,2.2,0.033334,radar,,,,4.2383,1.14297,2.33332,1.77928,1.95846,3.93934,-5.71409,3.09691,-0.0925251
car2,2.2,0.033334,radar,,,,12.0788,-0.315754,-5.74903,3.1291,11.4499,-4.34004,-6.36098,0.0779031,0.0327458
car3,2.2,0.033334,radar,,,,6.7638,2.91521,-4.24522,0.974963,-6.69331,1.64712,-4.89927,3.47346,0.0655104
car1,2.23333,0.033333,radar,,,,4.53348,1.03671,2.44546,1.14986,2.16726,3.91778,-5.76188,3.08645,-0.105526
car2,2.23333,0.033333,radar,,,,12.1013,-0.388034,-5.73172,0.342096,11.228,-4.38627,-6.39694,0.0873736,0.0404585
car3,2.23333,0.033333,radar,,,,6.83689,2.8341,-4.26439,2.93237,-6.53084,1.77758,-5.03781,3.4901,0.0668583
